nombre,direccion,ciudad,precio,dormitorios,baños,metros,precio_m2
Condominio La Tirana / Av. Cinco,"Avenida Cinco, Huayquique, Iquique, Tarapacá",iquique,970000,3,2,120,8083
"Arriendo Dpto. Amoblado Sector Sur, Ed. Torres De Huayquique","Av. La Tirana 5445, Iquique, Bajo Molle, Iquique, Tarapacá",iquique,900000,3,2,100,9000
Arriendo Departamento Amoblado 3 Dormitorios Iquique,"Av. Arturo Prat Chacón 1670, Iquique, Chile, Cavancha, Iquique, Tarapacá",iquique,900000,3,2,115,7826
Propiedad En Arriendo Depto Iquique,"Avenida Dos Oriente 4833, Iquique, Chile, Iquique, Tarapacá",iquique,600000,2,1,65,9231
Playa  Brava  Nuevo  1d 1b Bod Y Estac Santiago Polanco 207,"Avenida Santiago Polanco 2075, Iquique, Chile, Playa Brava, Iquique, Tarapacá",iquique,550000,1,1,32,17188
Arriendo Departamento En Iquique 2 Dormitorios + 1 Pieza Peq,"Condominio Horizonte - Avenida 4 Sur, 2640, Departamento 1604, Iquique, Chile, Cerro Dragón, Iquique, Tarapacá",iquique,560000,3,1,50,11200
Departamento En Arriendo De 2 Dorm Amob Mirador 2 En Iquique,"MANUEL PLAZA CON CASTRO RAMOS, Playa Brava, Iquique, Tarapacá",iquique,800000,2,2,20,40000
"Departamento En Arriendo De 2 Dorm Edificio Velamar ,iquique","MANUEL JESUS SILVA CON AV PLAYA BRAVA ALTURA DON TORO, Playa Brava, Iquique, Tarapacá",iquique,770000,2,2,60,12833
Departamento En Arriendo De 3 Dorm. En Iquique,"AV BILBAO ENTRE COLEGIO HISPANO BRITANICO Y LIDER SUR, Iquique, Tarapacá",iquique,800000,3,2,88,9091
Arriendo Departamento Edificio Paradise,"Avenida Santiago Polanco, 2075, Playa Brava, Iquique, Tarapacá",iquique,1100000,2,2,70,15714
Mirador Playa Brava Arriendo Departamento,"Manuel Plaza, 2989, Playa Brava, Iquique, Tarapacá",iquique,1100000,2,2,70,15714
Departamento Full Amoblado Con Vista Al Mar -oceánica- P16,"Edificio Oceanica, Cerro Dragón, Iquique, Tarapacá",iquique,790000,2,2,57,13860
Departamento En Arriendo De 3 Dorm. En Iquique,"Arturo Prat Chacon 215, Centro De Iquique, Iquique, Tarapacá",iquique,1150000,3,2,110,10455
Hermoso Departamento 1d/1b/est En Arriendo (101294),"Avenida Proyectada 1 - 300, Huayquique, Iquique, Tarapacá",iquique,670000,1,1,40,16750
Duplex Amoblado En Arriendo 2d/2b/est  (102165),"Avenida Héroes De La Concepción 1 - 300, Iquique, Tarapacá",iquique,1250000,2,2,116,10776
Departamento En Arriendo De 3 Dorm. En Iquique,"Condominio Brisas Del Sur 1, Cerro Dragón, Iquique, Tarapacá",iquique,750000,3,2,75,10000
Hermoso Departamento Amoblado 40m2 (100663),"Dieciocho De Septiembre 1 - 300, Cavancha, Iquique, Tarapacá",iquique,650000,1,1,40,16250
Se Arrienda Departamento Costanera Huayquique (101331),"Avenida Cinco 1 - 300, Huayquique, Iquique, Tarapacá",iquique,620000,1,1,60,10333
Departamento En Arriendo 50m2 Edificio Lynch (101319),"Sotomayor 1 - 300, Centro De Iquique, Iquique, Tarapacá",iquique,670000,2,2,65,10308
Arriendo Departamento Con Opcion De Compra (79320),"ARRIENDO DEPARTAMENTO $1.800.000, Playa Brava, Iquique, Tarapacá",iquique,1800000,3,3,180,10000
Arriendo Edificio Nautilus $1.100.000 (82259),"Capitán Roberto Pérez 1 - 300, Cavancha, Iquique, Tarapacá",iquique,1100000,3,2,100,11000
Se Arrienda Hermoso Y Amplio Departamento Amoblado,"SE ARRIENDA HERMOSO Y AMPLIO DEPARTAMENTO AMOBLADO, Hospital Regional, Iquique, Tarapacá",iquique,830000,3,2,90,9222
Departamento En Arriendo De 3 Dorm. En Iquique,"Cond. Jardines De Huayquique, Huayquique, Iquique, Tarapacá",iquique,1200000,3,2,124,9677
Amplio Y Remodelado Departamento,"Gómez Carreño, Iquique, Tarapacá",iquique,500000,2,1,70,7143
Arriendo Con Opción De Compra Iquique 3d2b,"Avenida Cinco, Huayquique, Iquique, Tarapacá",iquique,750000,3,2,82,9146
"Se Arrienda Departamento  Amoblado, Edificio Costa Cavancha","Capitán Roberto Pérez 600 - 900, Iquique, Cavancha, Iquique, Tarapacá",iquique,1400000,2,2,100,14000
Departamento En Arriendo De 3 Dorm. En Iquique,"Cond. Edificio Península, Cavancha, Iquique, Tarapacá",iquique,1100000,3,2,5,220000
Departamento En Arriendo De 1 Dorm. En Iquique,"Edif. Life, Centro De Iquique, Iquique, Tarapacá",iquique,590000,1,1,35,16857
"Se Arrienda Depto Amoblado, Playa Cavancha, Edificio Azul I.","Arturo Fernández 1800 - 2100, Iquique, Cavancha, Iquique, Tarapacá",iquique,580000,1,1,45,12889
"Arriendo 3 D Y 2 B Iquique. Sin Aval, Sin Ipc. Un Año.","Av. Cinco 4341, Huayquique, Iquique, Tarapacá",iquique,750000,3,2,89,8427
Departamento En Arriendo De 2 Dorm. En Iquique,"Cond. Edificio Pacífico, Iquique, Tarapacá",iquique,490000,2,1,65,7538
Departamento En Arriendo En Iquique,"Edificio Plaza Campanario 1, Playa Brava, Iquique, Tarapacá",iquique,1000000,1,1,60,16667
Departamento En Arriendo De 1 Dorm. En Iquique,"Edificio Aquamare, Playa Brava, Iquique, Tarapacá",iquique,700000,1,1,46,15217
Departamento En Arriendo De 4 Dorm. En Iquique,"Edificio Agua Marina II, Playa Brava, Iquique, Tarapacá",iquique,1000000,4,3,120,8333
Departamento En Arriendo De 3 Dorm. En Iquique,"Edificio Ámsterdam, Gómez Carreño, Iquique, Tarapacá",iquique,1700000,3,3,128,13281
"Se Arrienda Departamento (nuevo) Edificio Paradise, 2d,2b,1e","Avenida Santiago Polanco  2075, Playa Brava, Iquique, Tarapacá",iquique,800000,2,2,54,14815
Av. Arturo Prat #4346 - Costanera Huayquique Depto 603,"Av. Arturo Prat Chacón 4345, Iquique, Huayquique, Iquique, Tarapacá",iquique,750000,2,2,78,9615
Ramirez  #1429 - Edificio Neo - Depto 1801,"Eleuterio Ramirez 1429, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,650000,3,2,78,8333
Departamento Amoblado En Arriendo  Edificio Travesía,"Av. Arturo Prat Chacón 430, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,1300000,3,3,140,9286
Avenida Arturo Prat #353 - Edif. Matiz Depto 1904,"Av. Arturo Prat Chacón 353, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,690000,2,2,65,10615
Departamento En Arriendo De 1 Dorm. En Iquique,"Edificio Lynch, Centro De Iquique, Iquique, Tarapacá",iquique,500000,1,1,40,12500
Departamento En Arriendo De 3 Dorm. En Iquique,"Edificio PuntCavancha Torre Norte, Cavancha, Iquique, Tarapacá",iquique,1820000,3,2,95,19158
Departamento En Arriendo De 3 Dorm. En Iquique,"Edificio Barrio Parque, Playa Brava, Iquique, Tarapacá",iquique,2000000,3,3,175,11429
Se Arrienda Depto En Edificio Punta Cavancha.,"Iquique, Cavancha, Tarapacá",iquique,900000,3,2,100,9000
"Se Arrienda Amplio Departamento, En Edificio Costa Cavancha","Capitán Roberto Pérez 600 - 900, Iquique, Cavancha, Iquique, Tarapacá",iquique,1360000,3,3,145,9379
Orella #2095 - Depto 504,"Orella 2095, Iquique, Hospital Regional, Iquique, Tarapacá",iquique,500000,2,1,52,9615
Departamento En Arriendo De 1 Dorm. En Iquique,"Edificio Life, Centro De Iquique, Iquique, Tarapacá",iquique,530000,1,1,34,15588
Se Arrienda Amplio Departamento Edificio Punta Cavancha,"Iquique, Cavancha, Tarapacá",iquique,1350000,4,4,180,7500
Departamento En Arriendo De 3 Dorm. En Iquique,"Cond. Mar Egeo - Edificio Delos, Cavancha, Iquique, Tarapacá",iquique,1100000,3,2,90,12222
"Se Arrienda Depto Amoblado Vista Al Mar, Altos De Huayquique","Av. La Tirana 4800 - 5100, Iquique, Huayquique, Iquique, Tarapacá",iquique,980000,2,2,75,13067
Departamento En Arriendo En Iquique,"Edif. Matiz Cavancha, Cavancha, Iquique, Tarapacá",iquique,850000,3,2,70,12143
Departamento En Arriendo De 1 Dorm. En Iquique,"Edificio Life, Iquique, Tarapacá",iquique,540000,1,1,33,16364
Playa Brava Depto 3 Dormitorios,"Manuel Plaza 2995, Playa Brava, Iquique, Tarapacá",iquique,850000,3,2,98,8673
Departamento En Arriendo De 3 Dorm. En Iquique,"Cond.Carrara Torre A, Huayquique, Iquique, Tarapacá",iquique,1100000,3,3,105,10476
Departamento En Arriendo En Iquique,"Edificio Playa Huantajaya, Huayquique, Iquique, Tarapacá",iquique,550000,1,1,43,12791
Se Arrienda Depto Nuevo - 1 D En Edificio Life,"Obispo Labbé 930, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,530000,1,1,37,14324
Arriendo Departamento Amoblado  Ed. Velamar,"Manuel Jesús Silva 2250, Iquique, Playa Brava, Iquique, Tarapacá",iquique,580000,1,1,48,12083
3d+2b Departamento Av. Tadeo Haenke. Iquique,"Av. Tadeo Haenke 2221, Iquique, Playa Brava, Iquique, Tarapacá",iquique,720000,3,2,72,10000
Diego Portales #2015 (edificio La Frontera) - Depto 403,"Av. Diego Portales 2015, Iquique, Gómez Carreño, Iquique, Tarapacá",iquique,390000,2,1,45,8667
Vista Al Mar 2 Habitaciones Central,"Anibal Pinto 1303, Centro De Iquique, Iquique, Tarapacá",iquique,730000,2,2,60,12167
Arriendo Depto Amoblado 3d - Edificio Diego Portales,"Av. Diego Portales 2040, Gómez Carreño, Iquique, Tarapacá",iquique,700000,3,2,70,10000
"Departamento Paradise Amoblado, Estilo Mariposa Iquique.","Av. Santiago Polanco 1800 - 2100, Iquique, Playa Brava, Iquique, Tarapacá",iquique,1100000,2,2,60,18333
Se Arrienda Depto En Edif. Costa Azul.,"Arturo Fernández 2098, Iquique, Cavancha, Iquique, Tarapacá",iquique,450000,1,1,47,9574
Se Arrienda Depto En Edif. Cavancha Club.,"Juan Martínez, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique,470000,1,1,47,10000
"Arriendo Dpto 1 Dormitorio, Centro De Iquique $ 460.000","Sotomayor, Iquique, Hospital Regional, Iquique, Tarapacá",iquique,460000,1,1,34,13529
1 Dormitorio Brisas Del Sur,"Brisas Del Sur 2 SN, Cerro Dragón, Iquique, Tarapacá",iquique,570000,1,1,45,12667
Lindo Departamento Sector Centro Sur,"Av. La Tirana 3441, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique,78481860,3,1,59,1330201
"Arriendo Depto. Nuevo En Edificio Paradaise, Playa Brava","Av. Santiago Polanco 1800 - 2100, Iquique, Playa Brava, Iquique, Tarapacá",iquique,700000,2,1,44,15909
Condominio Portal Del Pacífico,"Av. Ramon Perez Opazo, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique,1300000,4,4,120,10833
Arriendo Cómodo Departamento En Edificio Diego Portales,"Av. Diego Portales 1800 - 2100, Iquique, Gómez Carreño, Iquique, Tarapacá",iquique,560000,3,2,75,7467
