nombre,direccion,ciudad,precio,dormitorios,baños,metros,precio_m2
Departamento Con Espectacular Vista Al Mar,"DEPTO ARRIENDO 3 DORM. LIDER EXPRESS, Hospital Regional, Antofagasta",antofagasta,820000,3,2,90,9111
Depto. Arriendo Av. Grecia,"DEPTO. ARRIENDO AV. GRECIA, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta,1100000,2,2,95,11579
"Depto Amoblado, Cerro Paranal","DEPTO AMOBLADO, CERRO PARANAL, Coviefi, Antofagasta",antofagasta,1500000,3,2,90,16667
Depto 2 Dorm. Frente Al Estadio Regional,"DEPTO 2 DORM. CERCA DE AVDA ANGAMOS, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta,850000,2,2,58,14655
"Depto Arriendo, Frente A Balneario","DEPTO ARRIENDO , FRENTE A BALNEARIO, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta,2200000,4,4,130,16923
Mall Plaza Norte,"MALL PLAZA NORTE, Hospital Regional, Antofagasta",antofagasta,600000,1,1,37,16216
Depto. Amoblado En Arriendo,"DEPTO. AMOBLADO EN ARRIENDO, Centro De Antofagasta, Antofagasta",antofagasta,1000000,3,2,70,14286
"Depto Amoblado, Mall Plaza Antofagasta","DEPTO AMOBLADO, MALL PLAZA ANTOFAGASTA, Centro De Antofagasta, Antofagasta",antofagasta,1300000,2,2,65,20000
"Depto. Semi Amoblado, Sector Norte","DEPTO. SEMI AMOBLADO, SECTOR NORTE, Parque Juan López, Antofagasta",antofagasta,950000,3,2,75,12667
Departamento En Arriendo En Antofagasta Parque Brasil 1 Dorm,"Parque Brasil, Parque Brasil, Antofagasta",antofagasta,650000,1,1,40,16250
Arriendo Departamento Ideal  Oficina. N° 406 Latorre 2580,"Almte. Juan José Latorre 2580, Departamento 406, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta,600000,3,1,72,8333
Departamento En Arriendo De 1 Dorm Cerro Paranal Antofagasta,"Cerro Paranal, Coviefi, Antofagasta",antofagasta,630000,1,1,40,15750
Arriendo Depto. Brisas Costa Laguna,"BRISAS DE COSTA LAGUNA, Costa Laguna, Antofagasta",antofagasta,890000,3,2,85,10471
Arriendo Hermoso Depto. Vista Al Mar Av. Brasil Antofagasta,"Antonio Poupin 1071, Antofagasta, Parque Brasil, Antofagasta",antofagasta,784819,1,2,74,10606
Arriendo Hermoso Departamento Centro Antofagasta,"Uribe 391, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta,706337,3,2,70,10091
Arriendo Depto Con Vista Al Mar De 4 D 3b . En Antofagasta,"Estadio Regional Calvo Bascuñañ, Playa Blanca, Antofagasta",antofagasta,900000,4,3,140,6429
Arriendo Departamento 3 Habitaciones En El Centro ...,"Antofagasta, Centro De Antofagasta",antofagasta,940000,3,2,86,10930
Se Arrienda Departamento Condominio Caparrosa Iii,"Limonita 10590, Antofagasta, Parque Juan López, Antofagasta",antofagasta,500000,3,1,75,6667
Acogedor Departamento 3d En Parque Ingles,"Antofagasta, Playa Blanca",antofagasta,900000,3,2,68,13235
Arriendo Departamento 3 Dormitorios En Cerro Paran...,"Antofagasta, Coviefi",antofagasta,1216469,3,2,87,13982
Departamento En Arriendo Av. Pedro Aguirre Cerda,"Antofagasta, Trocadero",antofagasta,760000,3,2,68,11176
Arriendo Departamento Nuevo Amoblado En Cerro Para...,"Antofagasta, Coviefi",antofagasta,800000,1,1,35,22857
Moderno Y Cómodo Departamento Con Vista Al Mar.,"Antofagasta, Coviefi",antofagasta,1962046,3,2,139,14115
Arriendo Dpto. Amoblado 3d 2b Cerro Paranal,"Antofagasta, Coviefi",antofagasta,1500000,3,2,94,15957
"Hermoso Departamento 3 Dormitorios, Edificio Atlán...","Antofagasta, Jardines Del Sur",antofagasta,1000000,3,2,110,9091
"Departamento Amoblado 3 Dormitorios, Sector Sur","Antofagasta, Coviefi",antofagasta,1300000,3,2,90,14444
Arriendo Departamento Nuevo 3 Dormitorios Con Vist...,Antofagasta,antofagasta,900000,3,2,74,12162
Arriendo Departamento Frente A Espacio Urbano Y Mu...,"Antofagasta, Playa Paraíso",antofagasta,1200000,3,2,70,17143
Se Arrienda Departamento En Llacolen,"Antofagasta, Jardines Del Sur",antofagasta,820000,2,2,71,11549
Arriendo Departamento 3 Dormitorios Amoblado,"Antofagasta, Centro De Antofagasta",antofagasta,950000,3,2,72,13194
Arriendo Departamento De 3 Dormitorios En Jardines...,"Antofagasta, Jardines Del Sur",antofagasta,1400000,3,3,128,10938
Departamento 2 Dormitorios Sector Líder Express Co...,"Antofagasta, Hospital Regional",antofagasta,620000,2,1,42,14762
En Arriendo Espectacular Departamento Frente Al Ma...,"Antofagasta, Estadio Calvo Y Bascuñán",antofagasta,950000,4,3,102,9314
Espectacular Vista! Departamento 1d 1b,Antofagasta,antofagasta,660000,1,1,44,15000
Cómodo Departamento Amoblado En Sector Sur,Antofagasta,antofagasta,1500000,4,3,107,14019
Amplio Departamento De 1 Dormitorio Con Gastos Com...,"Antofagasta, Estadio Calvo Y Bascuñán",antofagasta,610000,1,1,46,13261
Arriendo Departamento 4 Dormitorios Linda Vista,"Antofagasta, Jardines Del Sur",antofagasta,1400000,4,3,122,11475
Arriendo Departamento 3 Dormitorios Con Hermosa Vi...,Antofagasta,antofagasta,1300000,3,3,130,10000
Se Arrienda  Departamento 1 Dormitorio Pleno Centr...,"Antofagasta, Centro De Antofagasta",antofagasta,500000,1,1,35,14286
Arriendo Departamento Duplex  Lidia Moreno,"Antofagasta, Parque Juan López",antofagasta,1200000,4,3,90,13333
Departamento De 3 Dormitorios Sector Llacolén,"Huascar, Jardines Del Sur, Antofagasta",antofagasta,1150000,3,2,90,12778
"Departamento Amoblado En Salvador Reyes, Antofagas...","Antofagasta, Parque Brasil",antofagasta,900000,2,2,60,15000
Se Arrienda Departamento En Jardines Del Sur,"Antofagasta, Jardines Del Sur",antofagasta,750000,2,2,70,10714
A Estrenar En Llacolén 2 Dorm/ 2 Bañ / Bod/ Estacionamiento/,"Av. Jaime Guzmán Errázuriz 4080, Antofagasta, Jardines Del Sur, Antofagasta",antofagasta,780000,2,2,68,11471
Departamento 2 Habitaciones 2 Baños Llacolén Nuevo,"Av. Jaime Guzmán Errázuriz 4080, Antofagasta, Jardines Del Sur, Antofagasta",antofagasta,740000,2,2,62,11935
Departamento En Arriendo 3d/2b/1e/1b Cerro Paranal 271,"Av. Cerro Paranal 271, Antofagasta, Coviefi, Antofagasta",antofagasta,900000,3,2,100,9000
Se Arrienda Departamento Amoblado Edificio Terramar Ii,"El Yodo 8265, Antofagasta, Nicolás Tirado, Antofagasta",antofagasta,750000,3,2,67,11194
Depto. Amoblado En Excelente Ubicación Y Vista Panorámica,"Av. Jaime Guzmán Errázuriz, Antofagasta, Antofagasta",antofagasta,1450000,3,3,150,9667
Departamento Sector Av. Brasil. Hermosa Vista Al Mar,"Av. Grecia 1532, Antofagasta, Parque Brasil, Antofagasta",antofagasta,730000,3,2,105,6952
Depto. En Arriendo 1dorm. 1b. &#43; Est. &#43; Bod. En Antof,"Calle Ascotán S, La Chimba, Antofagasta",antofagasta,650000,1,1,36,18056
Kimpao: Arrienda Departamento En Llacolen Amoblado,"LAvenida Jaime Gusman 04824 SN, Jardines Del Sur, Antofagasta",antofagasta,1400000,3,2,100,14000
Departamento 1 Dormitorio Sin Amoblar,"Avenida Argentina, 1500 - 1800, Parque Brasil, Antofagasta",antofagasta,580000,1,1,42,13810
Se Arrienda Hermoso Y Amplio Departamento Con Vista Al Mar,"Sargento Aldea 311, Hospital Regional, Antofagasta",antofagasta,580000,1,1,40,14500
Vendo Depto. Sector Sur  Con Vista Al Mar,"Av. Cerro Paranal, Coviefi, Antofagasta",antofagasta,233483534,3,2,106,2202675
En Arriendo Hermoso Departamento Vista Al Al Mar Amoblado...,"Costa Laguna, Antofagasta",antofagasta,1200000,3,2,90,13333
Espectacular Vista Al Mar Departamento Playa Llacolén S. Sur,"Av. Jaime Guzmán Errázuriz 4200, Antofagasta, Antofagasta",antofagasta,700000,1,1,43,16279
Se Arrienda Amplio Departamento En Sector Llacolén,"Jardines Del Sur, Antofagasta",antofagasta,950000,3,2,94,10106
Hermoso  Depto Amoblado Full  1 Dormitorio Norte,"LIDIA MORENO, 1 - 300, Parque Juan López, Antofagasta",antofagasta,650000,1,1,43,15116
Se Arrienda Excelente  Departamento Nuevo 1 Ambiente Full...,"Parque Juan López, Antofagasta",antofagasta,650000,1,1,50,13000
Se Arrienda Hermoso Departamento Con Vista Al Mar,"Parque Juan López, Antofagasta",antofagasta,600000,1,1,50,12000
Se Arrienda Dpto. 1 Dormitorio Sector Sur,"Playa Blanca, Antofagasta",antofagasta,680000,1,1,45,15111
Se Arrienda Departamento Amoblado En Pleno Centro,"Centro De Antofagasta, Antofagasta",antofagasta,1100000,3,2,110,10000
Se Arrienda Amplio  Departamento Con Vista Al Mar,"Centro De Antofagasta, Antofagasta",antofagasta,1050000,3,3,120,8750
Se Arrienda Amplio Departamento En Faro Norte,"La Chimba, Antofagasta",antofagasta,680000,2,2,74,9189
Se Arrienda Departamento Amoblado En Sector Norte,"La Chimba, Antofagasta",antofagasta,650000,1,1,41,15854
Se Arrienda Departamento Vista Al Mar Sector Norte,"La Chimba, Antofagasta",antofagasta,850000,2,2,74,11486
Se Arrienda Amplio Departamento  Barrio Brasil,"Parque Brasil, Antofagasta",antofagasta,1250000,4,3,140,8929
Se Arrienda Hermoso Departamento 2 Dormitorios Sector Sur...,"Jardines Del Sur, Antofagasta",antofagasta,700000,2,1,57,12281
Se Arrienda Amplio Departamento A Pasos Del Estadio Regional,"Estadio Calvo Y Bascuñán, Antofagasta",antofagasta,1100000,3,2,91,12088
Espectacular Vista A Playa Llacolén Sector Sur Antofagasta,"Avenida Jaime Guzmán Errázuriz, Antofagasta",antofagasta,700000,1,1,43,16279
Departamento  Faro Norte,"Ascotan Norte, 1 - 300, La Chimba, Antofagasta",antofagasta,500000,1,1,54,9259
Arriendo Hermoso Departamento Vista Al Mar,"Nicolás Tirado, Antofagasta",antofagasta,580000,1,1,37,15676
¡tu Nuevo Hogar En Antofagasta Te Espera!,"Galleguillos Lorca 1553, 1 - 300, Parque Brasil, Antofagasta",antofagasta,850000,3,1,68,12500
Se Arrienda Hermoso Departamento Frente Al Mar.,"Hospital Regional, Antofagasta",antofagasta,680000,2,2,60,11333
Se Arrienda Hermoso Y Nuevo Departamento Del Norte,"Parque Juan López, Antofagasta",antofagasta,1300000,3,2,89,14607
Se Arrienda Departamento  Nuevo Sector Norte,"Parque Juan López, Antofagasta",antofagasta,890000,3,2,89,10000
Se Arrienda O Vende Exclusivo Departamento Full Equipado,"Playa Blanca, Antofagasta",antofagasta,950000,2,2,84,11310
Departamento Condominio Parque Costanera,"Calle El Oro, 8100 - 8400, Nicolás Tirado, Antofagasta",antofagasta,700000,3,2,90,7778
Se Arrienda Amplio E Iluminado Departamento Hermosa Vista...,"Jardines Del Sur, Antofagasta",antofagasta,1200000,3,1,125,9600
Se Arrienda Departamento Nuevo Edificio Alerce,"Avenida Rica Aventura  10701, La Chimba, Antofagasta",antofagasta,800000,2,2,80,10000
Se Arrienda Dpto. Costa Laguna Vista Al Mar,"Costa Laguna, Antofagasta",antofagasta,730000,2,2,72,10139
Se Arrienda Hermoso Dpto. Excelente Ubicación Sector Sur ...,"Jardines Del Sur, Antofagasta",antofagasta,1500000,4,3,125,12000
Se Arrienda Departamento 3 Dormitorios 2 Baños,"Lidia Moreno  265, Parque Juan López, Antofagasta",antofagasta,750000,3,2,75,10000
Arriendo  Departamento Sector Nicolas Tirado,"El Yodo, 8100 - 8400, Nicolás Tirado, Antofagasta",antofagasta,700000,3,2,78,8974
Arriendo Departamento 4 Dormitorios,"Avenida Jaime Guzman, 4500 - 4800, Antofagasta",antofagasta,1400000,4,3,113,12389
"Departamento 3 Dorm, 2 Baños. Sector Avenida Brasil","AVELINO CONTARDO CON ANGAMOS, Parque Brasil, Antofagasta",antofagasta,1300000,3,2,120,10833
"Arriendo Bahia Blanca, Sector Norte","Av. Edmundo Pérez Zujovic #11 - 300890, 0, La Chimba, Antofagasta",antofagasta,1000000,3,2,87,11494
Departamento En Arriendo Sector Norte,"Ascotan Norte, 1 - 300, La Chimba, Antofagasta",antofagasta,680000,2,2,60,11333
Departamento Amoblado En Arriendo Sector Norte,"Ascotan Norte, 1 - 300, La Chimba, Antofagasta",antofagasta,780000,2,2,60,13000
Departamento Amoblado En Arriendo Sector Norte,"Ascotan Norte, 1 - 300, La Chimba, Antofagasta",antofagasta,780000,2,2,60,13000
Moderno Departamento En Antofagasta Con Terraza,"Av. Cerro Panal, 300 - 600, Centro De Antofagasta, Antofagasta",antofagasta,1200000,3,2,95,12632
Departamento Amoblado Parque Brasil,"Salvador Reyes, 900 - 1200, Parque Brasil, Antofagasta",antofagasta,680000,1,1,48,14167
"Arriendo Depto Villa Grandon, Antofagasta","Bandera #7398, 1 - 300, Nicolás Tirado, Antofagasta",antofagasta,480000,3,1,64,7500
Departamento Amoblado 1 Dor En Parque Inglés,"Salar Grande 121, 1 - 300, Playa Blanca, Antofagasta",antofagasta,600000,1,1,47,12766
Departamento Interior En Sector Brasil,"Copiapo, 865, Parque Brasil, Antofagasta",antofagasta,700000,3,1,60,11667
Departamento  Costa Laguna Amoblado,"Gladys Marin, 600 - 900, Costa Laguna, Antofagasta",antofagasta,620000,2,2,45,13778
Arriendo Departamento Velas Del Norte,"Ascotan 131, 1 - 300, Centro De Antofagasta, Antofagasta",antofagasta,520000,1,1,50,10400
"Vive Modernamente En Edificio Icono, Antofagasta","Uribe 31 - 3005, 0, Centro De Antofagasta, Antofagasta",antofagasta,790000,1,1,48,16458
Departamento Amoblado 1 Dormitorio Parque Brasil,"Copiapó 801, Antofagasta, Chile, Parque Brasil, Antofagasta",antofagasta,720000,1,1,40,18000
Amplio Departamento Sur,"Jaime Guzman Errazuriz - Avenida Jaime Guzmán Errázuriz 4100, Antofagasta, Chile, Jardines Del Sur, Antofagasta",antofagasta,900000,3,2,117,7692
Departamento 3d/2b/2e,"Av. Jaime Guzmán Errázuriz, Antofagasta, Chile, Antofagasta",antofagasta,900000,3,2,117,7692
Se Arrienda Departamento De 3 Dormitorios Amoblado En Sector,"Avenida Cerro Paranal 270, Antofagasta, Chile, Coviefi, Antofagasta",antofagasta,1300000,3,2,100,13000
Se Arrienda Departamento 2 Dormitorio En Sector Norte Valor,"Pirita 10455, Antofagasta, Chile, Parque Juan López, Antofagasta",antofagasta,700000,2,1,58,12069
Arriendo Depto. Sector Norte Antofagasta,"Avenida Rica Aventura 10701, Antofagasta, Chile, Parque Juan López, Antofagasta",antofagasta,600000,1,1,37,16216
Se Arrieda Departamento 2 Dormitorios En Sector Central Valo,"Bellavista 3831, Antofagasta, Chile, Playa Paraíso, Antofagasta",antofagasta,680000,2,1,54,12593
"Se Arrienda Departamento Amoblado En Antofagasta, Sector Nor","Gladys Marín 625, Antofagasta, Chile, Costa Laguna, Antofagasta",antofagasta,780000,2,2,60,13000
Se Vende Departamento Amoblado En Antofagasta (costa Laguna),"Gladys Marín 625, Antofagasta, Chile, Costa Laguna, Antofagasta",antofagasta,204052836,3,2,90,2267254
Se Arrienda Hermoso Departamento Amoblado En Antofagasta (co,"Gladys Marín 625, Antofagasta, Chile, Costa Laguna, Antofagasta",antofagasta,950000,3,2,90,10556
¡¡excelente Oportunidad!! Se Arrienda Hermoso Departamento,"Manuel Verbal 1545, Antofagasta, Chile, Parque Brasil, Antofagasta",antofagasta,900000,2,2,60,15000
Lujoso Dpto 3d3b Amoblado En Pleno Centro Por Av Argentina,"Av. Argentina 2881, Antofagasta, Chile, Centro De Antofagasta, Antofagasta",antofagasta,1050000,3,3,140,7500
"Se Arrienda Departamento Amoblado En Antofagasta, Sector Sur","Avenida Cerro Paranal 300, Antofagasta, Chile, Coviefi, Antofagasta",antofagasta,900000,2,2,60,15000
Se Arrienda Departamento 3 Dormitorios 2 Baños  En Sector N,"Lidia Moreno 177, Antofagasta, Chile, Parque Juan López, Antofagasta",antofagasta,780000,3,2,80,9750
Parque Costanera,"El Azufre 23, Antofagasta, Chile, Nicolás Tirado, Antofagasta",antofagasta,500000,1,1,39,12821
"Se Arrienda Departamento Sin Amoblar $700.000 G.c Incluido,","Abracita 477, Antofagasta, Chile, La Chimba, Antofagasta",antofagasta,800000,2,2,60,13333
"Departamento Amoblado Arriendo - Sector Coviefi, Antofagasta","Huellelhue 1040, Antofagasta, Chile, Coviefi, Antofagasta",antofagasta,630000,2,1,60,10500
"Dpto. 2 Dormitorios En Arriendo, Av. Brasil","José Miguel Carrera 1663, Antofagasta, Chile, Parque Brasil, Antofagasta",antofagasta,800000,2,2,88,9091
Belllo Dpto 1d1b Amoblado Sobre Lider Express,"Av. Edmundo Pérez Zujovic 5490, Antofagasta, Chile, Hospital Regional, Antofagasta",antofagasta,630000,1,1,42,15000
Bello Dpto Nuevo 2d1b Condominio Velas Del Norte Ii,"Ascotán Norte 141, Antofagasta, Chile, La Chimba, Antofagasta",antofagasta,650000,2,1,40,16250
Bello Dpto Amoblado 1d1b Sobre Lider Express,"Av. Edmundo Pérez Zujovic 5490, Antofagasta, Chile, Hospital Regional, Antofagasta",antofagasta,640000,1,1,38,16842
"Dpto. 3 Dormitorios En Arriendo, Llacolen","Jaime Guzman Errazuriz - Avenida Jaime Guzmán Errázuriz 4100, Antofagasta, Chile, Jardines Del Sur, Antofagasta",antofagasta,985000,3,2,107,9206
Bello Dpto Amoblado Sobre Lider Express 1d1b,"Av. Edmundo Pérez Zujovic 5490, Antofagasta, Chile, Hospital Regional, Antofagasta",antofagasta,640000,1,1,39,16410
"Depto 2 Dormitorios Amoblado, Sector Clínica","Capitán Carlos Condell 2026, Antofagasta, Chile, Antofagasta",antofagasta,750000,2,1,58,12931
Departamento Amoblado Arriendo - Antofagasta,"Copiapó 865, Antofagasta, Chile, Parque Brasil, Antofagasta",antofagasta,700000,3,1,90,7778
Excelente Oportunidad!! Se Arrienda Amplio Y Hermoso Departa,"José Miguel Carrera 1821, Antofagasta, Chile, Parque Brasil, Antofagasta",antofagasta,1600000,4,3,120,13333
"Depto 3 Habitaciones En Arriendo, La Chimba","Avenida Rica Aventura 11930, Antofagasta, Chile, La Chimba, Antofagasta",antofagasta,550000,3,1,60,9167
"Se Arrienda Departamento $600.000 + Gastos Comunes, Sector G","La Hermandad 788, Antofagasta, Chile, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta,600000,1,1,40,15000
Bello Dpto 1d1b Amoblado Sobre Lider Express,"Av. Edmundo Pérez Zujovic 5490, Antofagasta, Chile, Hospital Regional, Antofagasta",antofagasta,640000,1,1,39,16410
Se Arrienda Departamento Amoblado A Empresas Centro Ciudad A,"Capitán Carlos Condell 2955, Antofagasta, Chile, Centro De Antofagasta, Antofagasta",antofagasta,1137987,3,3,90,12644
"Dpto. 2 Dorm. En Arriendo, Llacolen","Av. Jaime Guzmán Errázuriz, Antofagasta, Chile, Antofagasta",antofagasta,780000,2,2,56,13929
"Dpto. 2 Dorm. En Arriendo, Sector Norte","Avenida Edmundo Pérez Zujovic 10890, Antofagasta, Chile, La Chimba, Antofagasta",antofagasta,690000,2,2,67,10299
¡excelente Oportunidad! Arriendo Departamento Amoblado Sect,"Las Colonias  621, Antofagasta, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta,750000,1,1,40,18750
"Se Arrienda Departamento $550.00.- + Gastos Comunes, Sector","Avenida Angamos 1087, Antofagasta, Chile, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta,550000,1,1,40,13750
Excelente Oportunidad! Se Arrienda Departamento $670.000-con,"Benito Ocampo 11640, Antofagasta, Chile, La Chimba, Antofagasta",antofagasta,670000,3,2,90,7444
¡excelente Oportunidad! Arriendo Departamento Sector Gran V,"Las Colonias 621, Antofagasta, Chile, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta,650000,1,1,40,16250
Excelente Oportunidad!! $1.300.000 Se Arrienda Amplio Y Herm,"Alcalde German Miric Vega 621, Antofagasta, Chile, Coviefi, Antofagasta",antofagasta,1300000,3,2,90,14444
Se Arrienda Departamento En Sector Costa Laguna,"Gladys Marín 625, Antofagasta, Costa Laguna, Antofagasta",antofagasta,1000000,4,2,120,8333
Se Arrienda Departamento Cerro Paranal,"Av. Cerro Paranal 515, Antofagasta, Coviefi, Antofagasta",antofagasta,950000,3,2,83,11446
Se Arrienda Departamento En Condominio Lomas Del Norte Ii,"Félix García 320, Antofagasta, Parque Juan López, Antofagasta",antofagasta,800000,3,2,31,25806
Se Arrienda Departamento En Condominio Velas Del Norte Ii,"Ascotán Nte. 145, Antofagasta, La Chimba, Antofagasta",antofagasta,540000,2,1,50,10800
Se Arrienda Departamento En Condominio Parque Costanera,"El Azufre 23, Antofagasta, Nicolás Tirado, Antofagasta",antofagasta,620000,3,2,75,8267
Se Arrienda Departamento Amoblado En Cerro Paranal,"Av. Cerro Paranal 270, Antofagasta, Coviefi, Antofagasta",antofagasta,1350000,3,2,80,16875
Se Arrienda Departamento Amoblado En Condominio Bonasort Vi,"Oficina Lastenia 11810, Antofagasta, La Chimba, Antofagasta",antofagasta,565000,3,1,59,9576
Se Arrienda Departamento En Edificio Las Garzas,"Sierra Nevada 11110, Antofagasta, La Chimba, Antofagasta",antofagasta,500000,1,1,39,12821
Se Arrienda Departamento En Sargento Aldea,"Sgto. Aldea 315, Antofagasta, Hospital Regional, Antofagasta",antofagasta,440000,1,1,34,12941
Se Arrienda Departamento En Condominio Velas Del Norte,"Ascotán Nte. 131, Antofagasta, La Chimba, Antofagasta",antofagasta,595000,2,2,40,14875
Se Arrienda Departamento En Condominio Faro Norte,"Ascotán Nte. 155, Antofagasta, La Chimba, Antofagasta",antofagasta,732000,2,2,61,12000
Se Arrienda Departamento Amoblado Sector Centro Norte,"Av. Edmundo Pérez Zujovic 5490, Antofagasta, Hospital Regional, Antofagasta",antofagasta,550000,1,1,30,18333
Se Arrienda Departamento En Condominio Las Garzas,"Sierra Nevada 11110, Antofagasta, La Chimba, Antofagasta",antofagasta,500000,1,1,39,12821
Arriendo Departamento 3hab 2ba Antofagasta,"José Toribio Medina, 256, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta,900000,3,2,100,9000
Amplio Departamento Con Patio Sector Sur,"Travesía Del Cerro, 2904, Jardines Del Sur, Antofagasta",antofagasta,1373433,3,2,150,9156
"2 Dormitorios, Vista Al Mar Con Estacionamiento","Avenida Jaime Guzmán Errázuriz, 4100, Antofagasta",antofagasta,790000,2,2,4,197500
Se Arrienda Hermoso Departamento En Edificio Novo,"Almte. Juan José Latorre 3002, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta,530000,2,2,54,9815
Arriendo Departamento Amoblado  Avenida Cerro Paranal,"Paranal, 360, Coviefi, Antofagasta",antofagasta,1300000,3,2,112,11607
Se Arrienda Departamento En Condominio Caparrosa Iii,"Limonita 10590, Antofagasta, Parque Juan López, Antofagasta",antofagasta,415000,1,1,38,10921
Departamento 1d1b1e1b  Sector Sur,"Antilhue, 730, Coviefi, Antofagasta",antofagasta,650000,1,1,45,14444
Departamento Costa Laguna 3d1b1e 5to Piso,"Los Conquistadores, 13755, Costa Laguna, Antofagasta",antofagasta,650000,3,1,61,10656
Se Arrienda Departamento En Sargento Aldea,"Sgto. Aldea 315, Antofagasta, Hospital Regional, Antofagasta",antofagasta,500000,2,1,47,10638
Se Arrienda Departamento Amoblado En Edicifio Alto Mar,"Teniente Manuel Orella 643, Antofagasta, Centro De Antofagasta, Antofagasta",antofagasta,640000,2,2,80,8000
Oportunidad De Arriendo Sector Centro,"Avenida Argentina, 2272, Centro De Antofagasta, Antofagasta",antofagasta,1050000,3,3,110,9545
Se Arrienda Departamento Amoblado En Costa Laguna,"Sergio Ortega, Antofagasta, Costa Laguna, Antofagasta",antofagasta,650000,3,2,75,8667
Se Arrienda Departamento En Costa Laguna,"Sergio Ortega, Antofagasta, Costa Laguna, Antofagasta",antofagasta,570000,3,2,75,7600
Gran Oportunidad De Arriendo En Sector Sur,"Avenida República De Croacia, 795, Estadio Calvo Y Bascuñán, Antofagasta",antofagasta,990000,3,2,90,11000
Arriendo Departamento Duplex Semi Amoblado,"Calle Salar Grande, 121, Playa Blanca, Antofagasta",antofagasta,700000,2,2,85,8235
Se Arrienda Departamento Sector Centro Norte,"Av. Antonio Rendic 4727, Antofagasta, Hospital Regional, Antofagasta",antofagasta,650000,2,2,67,9701
"Departamento Con Vista Al Mar, Sector Sur","Jardines Del Sur, Antofagasta",antofagasta,800000,2,2,55,14545
"Hermoso Depto. Con Vista Al Mar, Sector Sur","Jardines Del Sur, Antofagasta",antofagasta,1100000,3,2,104,10577
Hermoso Departamento Amoblado Sector Sur.,"Coviefi, Antofagasta",antofagasta,1350000,3,2,87,15517
"Hermoso Departamento Con Vista Al Mar, Sector Sur.",Antofagasta,antofagasta,1100000,3,2,110,10000
"Departamento Nuevo 2d, Sector Norte","Trocadero, Antofagasta",antofagasta,690000,2,1,53,13019
Hermoso Departamento Amoblado Para Ejecutivos Y Empresas,"Coviefi, Antofagasta",antofagasta,1200000,2,2,83,14458
"Departamento Con Vista Al Mar, Sector Sur",Antofagasta,antofagasta,850000,3,2,89,9551
"Departamento Amoblado Con Vista Al Mar, Sector Sur","Coviefi, Antofagasta",antofagasta,950000,2,2,76,12500
Departamento Amoblado Con Vista Al Mar,"Centro De Antofagasta, Antofagasta",antofagasta,950000,3,2,75,12667
"Departamento Amoblado 3 Dormitorios, Sector Norte","Nicolás Tirado, Antofagasta",antofagasta,850000,3,2,76,11184
"Departamento Full Amoblado Con Vista Al Mar, Sector Sur","Centro De Antofagasta, Antofagasta",antofagasta,1100000,2,2,54,20370
"Departamento Full Amoblado Con Vista Al Mar, Sector Sur","Playa Blanca, Antofagasta",antofagasta,900000,3,2,70,12857
Departamento Cerca Lider Express,"Hospital Regional, Antofagasta",antofagasta,650000,2,1,46,14130
"Arriendo Departamento A Pasos De Arauco Express, Centronorte","Sgto. Aldea 300 - 600, Antofagasta, Hospital Regional, Antofagasta",antofagasta,530000,2,1,40,13250
¡espacioso Dpto. En Arriendo,"ENTRE SALVADOR ALLENDE Y AVENIDA ANTONIO RENDIC, Hospital Regional, Antofagasta",antofagasta,730000,3,2,90,8111
Arriendo Depto. Amoblado En Antofagasta,"URIBE CON WASHINGTON, Centro De Antofagasta, Antofagasta",antofagasta,790000,1,1,50,15800
Gran Departamento Av. Brasil  (101205),"Antonino Toro 1 - 300, Parque Brasil, Antofagasta",antofagasta,1100000,4,3,150,7333
"Departamento Full Amoblado, Edificio Maitén Antofagasta","Lidia Moreno 177, 1240000 Antofagasta, Chile, Parque Juan López, Antofagasta",antofagasta,620000,1,1,43,14419
Se Arrienda Dpto Amoblado A Empresas.  (86651),"Galleguillos Lorca 600 - 900, Parque Brasil, Antofagasta",antofagasta,1500000,2,2,60,25000
Depto. Amoblado A Empresas.  En Cerro Paranal (95928),"Avenida Cerro Paranal 1 - 300, Coviefi, Antofagasta",antofagasta,900000,3,3,95,9474
Cómodo Depto. Ubicado En Parque Universitario (94401),"Oportunidad Arriendo En Portal Universitario, Jardines Del Sur, Antofagasta",antofagasta,550000,3,1,40,13750
Departamento Para Empresas En Antofagasta (97997),"Departamento Amoblado En Antofagasta, Antofagasta",antofagasta,1500000,4,3,125,12000
Exclusivo Departamento  (101071),"Antilhue 600 - 900, Antofagasta, Chile, Playa Blanca, Antofagasta",antofagasta,900000,3,2,72,12500
Se Arrienda Amplio Dpto Sector Sur  (93919),"Calle Valle Del Atardecer 1 - 300, Jardines Del Sur, Antofagasta",antofagasta,1200000,3,3,119,10084
