nombre,precio,dormitorios,baños,metros,direccion,ciudad
Edificio Reina Ana / Av. Salvador Allende,$650.000,3 dormitorios,2 baños,78 m² útiles,"Av. Salvador Allende Gossens 450, Iquique, Hospital Regional, Iquique, Tarapacá",iquique
Arriendo Departamento Amoblado 3 Habitaciones En Iquique,$850.000,3 dormitorios,2 baños,84 m² útiles,"Av. 4 Sur 2400 - 2700, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique
"Arriendo Dpto. 1 Dormitorio, Brisas Del Sur 2, Iquique",$600.000,1 dormitorio,1 baño,48 m² útiles,"Av. Proyectada 2620, Iquique, Huayquique, Iquique, Tarapacá",iquique
Condominio La Tirana / Av. Cinco,$970.000,3 dormitorios,2 baños,120 m² útiles,"Avenida Cinco, Huayquique, Iquique, Tarapacá",iquique
"Arriendo Dpto. Amoblado Sector Sur, Ed. Torres De Huayquique",$900.000,3 dormitorios,2 baños,100 m² útiles,"Av. La Tirana 5445, Iquique, Bajo Molle, Iquique, Tarapacá",iquique
Edificio Portal Los Héroes / Emilio Recabarren,$800.000,3 dormitorios,2 baños,85 m² útiles,"Av. Luis Emilio Recabarren 2799, Iquique, Gómez Carreño, Iquique, Tarapacá",iquique
"Departamento En Arriendo De 2 Dorm Edificio Velamar ,iquique",$770.000,2 dormitorios,2 baños,60 m² totales,"MANUEL JESUS SILVA CON AV PLAYA BRAVA ALTURA DON TORO, Playa Brava, Iquique, Tarapacá",iquique
Departamento En Arriendo De 3 Dorm. En Iquique,$800.000,3 dormitorios,2 baños,88 m² útiles,"AV BILBAO ENTRE COLEGIO HISPANO BRITANICO Y LIDER SUR, Iquique, Tarapacá",iquique
Arriendo Departamento Amoblado 3 Dormitorios Iquique,$900.000,3 dormitorios,2 baños,115 m² útiles,"Av. Arturo Prat Chacón 1670, Iquique, Chile, Cavancha, Iquique, Tarapacá",iquique
Departamento En Arriendo Iquique,$600.000,2 dormitorios,1 baño,65 m² útiles,"Avenida Dos Oriente 4833, Iquique, Chile, Iquique, Tarapacá",iquique
Unico Nuevo  1d1b Bodega Estacionamiento  Santiago Polanco 2,$550.000,1 dormitorio,1 baño,32 m² útiles,"Avenida Santiago Polanco 2075, Iquique, Chile, Playa Brava, Iquique, Tarapacá",iquique
Arriendo Departamento En Iquique 2 Dormitorios + 1 Pieza Peq,$560.000,3 dormitorios,1 baño,50 m² útiles,"Condominio Horizonte - Avenida 4 Sur, 2640, Departamento 1604, Iquique, Chile, Cerro Dragón, Iquique, Tarapacá",iquique
Departamento En Arriendo De 3 Dorm. En Iquique,$1.150.000,3 dormitorios,2 baños,110 m² útiles,"Arturo Prat Chacon 215, Centro De Iquique, Iquique, Tarapacá",iquique
Arriendo Departamento En Iquique 2 Dormitorios,$480.000,2 dormitorios,1 baño,50 m² útiles,"Los Algarrobos, 4320, Cerro Dragón, Iquique, Tarapacá",iquique
Arriendo Cómodo Departamento En Iquique 3 Dormitorios,$650.000,3 dormitorios,2 baños,70 m² útiles,"Avenida Salvador Allende Gossens, 2290, Gómez Carreño, Iquique, Tarapacá",iquique
Arriendo Departamento Edificio Paradise,$1.100.000,2 dormitorios,2 baños,70 m² útiles,"Avenida Santiago Polanco, 2075, Playa Brava, Iquique, Tarapacá",iquique
Arriendo Hermoso Departamento En Edificio Urbano,$550.000,1 dormitorio,1 baño,48 m² útiles,"Arturo Fernández, 2062, Cavancha, Iquique, Tarapacá",iquique
Departamento En Arriendo De 3 Dorm. En Iquique,$750.000,3 dormitorios,2 baños,75 m² útiles,"Condominio Brisas Del Sur 1, Cerro Dragón, Iquique, Tarapacá",iquique
Mirador Playa Brava Arriendo Departamento,$1.100.000,2 dormitorios,2 baños,70 m² útiles,"Manuel Plaza, 2989, Playa Brava, Iquique, Tarapacá",iquique
"Departamento En Arriendo En El Condominio La Tirana, Iquique",$550.000,3 dormitorios,2 baños,75 m² útiles,"Calle Cinco 4300, Huayquique, Iquique, Tarapacá",iquique
Hermoso Departamento 1d/1b/est En Arriendo (101294),$670.000,1 dormitorio,1 baño,40 m² útiles,"Avenida Proyectada 1 - 300, Huayquique, Iquique, Tarapacá",iquique
Duplex Amoblado En Arriendo 2d/2b/est  (102165),$1.250.000,2 dormitorios,2 baños,116 m² útiles,"Avenida Héroes De La Concepción 1 - 300, Iquique, Tarapacá",iquique
Hermoso Departamento Amoblado 40m2 (100663),$650.000,1 dormitorio,1 baño,40 m² útiles,"Dieciocho De Septiembre 1 - 300, Cavancha, Iquique, Tarapacá",iquique
Se Arrienda Departamento Costanera Huayquique (101331),$620.000,1 dormitorio,1 baño,60 m² útiles,"Avenida Cinco 1 - 300, Huayquique, Iquique, Tarapacá",iquique
Departamento En Arriendo 50m2 2d/1b/est (101319),$590.000,2 dormitorios,,,"Sotomayor 1 - 300, Centro De Iquique, Iquique, Tarapacá",iquique
Arriendo Barrio Parque  (79320),$1.800.000,3 dormitorios,3 baños,180 m² útiles,"Barrio Parque, Playa Brava. - Avenida Arturo Prat Chacón, Iquique, Chile, Playa Brava, Iquique, Tarapacá",iquique
Departamento Céntrico 35m2 1d/1b  (103543),$600.000,1 dormitorio,1 baño,35 m² útiles,"Avenida Santiago Polanco 1 - 300, Cerro Dragón, Iquique, Tarapacá",iquique
Arriendo Edificio Nautilus $1.100.000 (82259),$1.100.000,3 dormitorios,2 baños,100 m² útiles,"Capitán Roberto Pérez 1 - 300, Cavancha, Iquique, Tarapacá",iquique
Super Departamento En Arriendo,$1.100.000,155 m² útiles,,,"Avenida Arturo Prat Chacon 1062, Cavancha, Iquique, Tarapacá",iquique
"Se Arrienda Departamento  Amoblado, Edificio Costa Cavancha",$1.400.000,2 dormitorios,2 baños,100 m² útiles,"Capitán Roberto Pérez 600 - 900, Iquique, Cavancha, Iquique, Tarapacá",iquique
Se Arrienda Departamento Amoblado Cercano A Playa Cavancha.,$580.000,1 dormitorio,1 baño,45 m² útiles,"Arturo Fernández 1800 - 2100, Iquique, Cavancha, Iquique, Tarapacá",iquique
"Se Arrienda Amplio Departamento, En Edificio Costa Cavancha",$1.360.000,3 dormitorios,3 baños,145 m² útiles,"Capitán Roberto Pérez 600 - 900, Iquique, Cavancha, Iquique, Tarapacá",iquique
"Se Arrienda Depto Amoblado Vista Al Mar, Altos De Huayquique",$980.000,2 dormitorios,2 baños,75 m² útiles,"Av. La Tirana 4800 - 5100, Iquique, Huayquique, Iquique, Tarapacá",iquique
Se Arrienda Hermoso Y Amplio Departamento Amoblado,$830.000,3 dormitorios,2 baños,90 m² útiles,"SE ARRIENDA HERMOSO Y AMPLIO DEPARTAMENTO AMOBLADO, Hospital Regional, Iquique, Tarapacá",iquique
Arriendo Con Opción De Compra Iquique 3d2b,$750.000,3 dormitorios,2 baños,82 m² útiles,"Avenida Cinco, Huayquique, Iquique, Tarapacá",iquique
Departamento En Arriendo De 3 Dorm. En Iquique,$1.200.000,3 dormitorios,2 baños,124 m² totales,"Cond. Jardines De Huayquique, Huayquique, Iquique, Tarapacá",iquique
Amplio Y Remodelado Departamento,$500.000,2 dormitorios,1 baño,70 m² útiles,"Gómez Carreño, Iquique, Tarapacá",iquique
Departamento En Arriendo De 1 Dorm. En Iquique,$590.000,1 dormitorio,1 baño,35 m² útiles,"Edif. Life, Centro De Iquique, Iquique, Tarapacá",iquique
"Arriendo 3 D Y 2 B Iquique. Sin Aval, Sin Ipc. Un Año.",$750.000,3 dormitorios,2 baños,89 m² útiles,"Av. Cinco 4341, Huayquique, Iquique, Tarapacá",iquique
Departamento En Arriendo En Iquique,$1.000.000,1 dormitorio,1 baño,60 m² totales,"Edificio Plaza Campanario 1, Playa Brava, Iquique, Tarapacá",iquique
Se Arrienda Depto En Edif. Vigias Del Mar.,$550.000,3 dormitorios,2 baños,75 m² útiles,"Avenida Dos Oriente 4833, Iquique, Iquique, Tarapacá",iquique
Departamento En Arriendo De 3 Dorm. En Iquique,$900.000,3 dormitorios,2 baños,,"Edificio Terranova, Huayquique, Iquique, Tarapacá",iquique
Departamento En Arriendo De 4 Dorm. En Iquique,$1.000.000,4 dormitorios,3 baños,120 m² útiles,"Edificio Agua Marina II, Playa Brava, Iquique, Tarapacá",iquique
Departamento En Arriendo De 3 Dorm. En Iquique,$1.700.000,3 dormitorios,3 baños,128 m² útiles,"Edificio Ámsterdam, Gómez Carreño, Iquique, Tarapacá",iquique
"Se Arrienda Departamento (nuevo) Edificio Paradise, 2d,2b,1e",$800.000,2 dormitorios,2 baños,54 m² útiles,"Avenida Santiago Polanco  2075, Playa Brava, Iquique, Tarapacá",iquique
Av. Arturo Prat #4346 - Costanera Huayquique Depto 603,$750.000,2 dormitorios,2 baños,78 m² útiles,"Av. Arturo Prat Chacón 4345, Iquique, Huayquique, Iquique, Tarapacá",iquique
"Dpto En Arriendo, Brisas Del Sur 1, 2d, 2b, 1bod, 1est.",$620.000,2 dormitorios,2 baños,76 m² útiles,"Av. 4 Sur 2621, Cerro Dragón, Iquique, Tarapacá",iquique
Ramirez  #1429 - Edificio Neo - Depto 1801,$650.000,3 dormitorios,2 baños,78 m² útiles,"Eleuterio Ramirez 1429, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique
Departamento Amoblado En Arriendo  Edificio Travesía,$1.300.000,3 dormitorios,3 baños,140 m² útiles,"Av. Arturo Prat Chacón 430, Iquique, Centro De Iquique, Iquique, Tarapacá",iquique
3d 2b Ed. Panorama Playa Cavancha Insuperable Vista Al Mar,$950.000,3 dormitorios,3 baños,126 m² útiles,"Av. Arturo Prat Chacón, Iquique, Playa Brava, Iquique, Tarapacá",iquique
Departamento En Arriendo De 1 Dorm. En Iquique,$500.000,1 dormitorio,1 baño,,"Edificio Lynch, Centro De Iquique, Iquique, Tarapacá",iquique
Departamento En Arriendo De 3 Dorm. En Iquique,$2.000.000,3 dormitorios,3 baños,175 m² útiles,"Edificio Barrio Parque, Playa Brava, Iquique, Tarapacá",iquique
Departamento En Arriendo De 3 Dorm. En Iquique,$1.820.000,3 dormitorios,2 baños,95 m² útiles,"Edificio PuntCavancha Torre Norte, Cavancha, Iquique, Tarapacá",iquique
Orella #2095 - Depto 504,$500.000,2 dormitorios,1 baño,52 m² útiles,"Orella 2095, Iquique, Hospital Regional, Iquique, Tarapacá",iquique
Departamento En Arriendo De 1 Dorm. En Iquique,$530.000,1 dormitorio,1 baño,34 m² útiles,"Edificio Life, Centro De Iquique, Iquique, Tarapacá",iquique
Se Arrienda Amplio Departamento Edificio Punta Cavancha,$1.350.000,4 dormitorios,4 baños,180 m² útiles,"Iquique, Cavancha, Tarapacá",iquique
Departamento En Arriendo De 3 Dorm. En Iquique,$1.100.000,3 dormitorios,2 baños,90 m² útiles,"Cond. Mar Egeo - Edificio Delos, Cavancha, Iquique, Tarapacá",iquique
Departamento En Arriendo De 3 Dorm. En Iquique,$1.600.000,3 dormitorios,3 baños,,"Edificio Amsterdam, Gómez Carreño, Iquique, Tarapacá",iquique
Departamento En Arriendo De 1 Dorm. En Iquique Año Corrido,$480.000,1 dormitorio,1 baño,50 m² útiles,"Luis Uribe 100, Centro De Iquique, Iquique, Tarapacá",iquique
Departamento En Arriendo En Iquique,$850.000,3 dormitorios,2 baños,70 m² útiles,"Edif. Matiz Cavancha, Cavancha, Iquique, Tarapacá",iquique
Departamento En Arriendo De 1 Dorm. En Iquique,$540.000,1 dormitorio,1 baño,33 m² útiles,"Edificio Life, Iquique, Tarapacá",iquique
Espectacular Vista Primera Línea Amoblado,$1.400.000,3 dormitorios,3 baños,120 m² útiles,"Edificio Arrecife SN, Cavancha, Iquique, Tarapacá",iquique
Amplio Departamento/ Edif Terranova / Sector Sur,$700.000,2 dormitorios,2 baños,75 m² útiles,"Huayquique, Iquique, Tarapacá",iquique
Playa Brava Depto 3 Dormitorios,$800.000,3 dormitorios,2 baños,98 m² útiles,"Manuel Plaza 2995, Playa Brava, Iquique, Tarapacá",iquique
Arriendo Excelente Depto.  Edificio Torres De Huayquique,$750.000,3 dormitorios,2 baños,90 m² útiles,"Av. La Tirana, Iquique, Cerro Dragón, Iquique, Tarapacá",iquique
